status_code,status_label,is_terminal,requires_completion_date,requires_completion_result,legacy_template_aliases,legacy_mapping_policy,source_reference,source_verification_status,record_status,approved_for_production
NOT_STARTED,Chưa thực hiện,false,false,false,not_started,DIRECT_DRAFT_EQUIVALENCE,task_status_definitions.json,NON_PRODUCTION_DRAFT,NOT_OFFICIAL,false
IN_PROGRESS,Đang thực hiện,false,false,false,in_progress,DIRECT_DRAFT_EQUIVALENCE,task_status_definitions.json,NON_PRODUCTION_DRAFT,NOT_OFFICIAL,false
COMPLETED_ON_TIME,Hoàn thành đúng hạn,true,true,true,completed,CONTEXT_REQUIRED_COMPARE_COMPLETION_AND_DUE_DATE,task_status_definitions.json,NON_PRODUCTION_DRAFT,NOT_OFFICIAL,false
COMPLETED_LATE,Hoàn thành quá hạn,true,true,true,completed|delayed,CONTEXT_REQUIRED_COMPARE_COMPLETION_AND_DUE_DATE,task_status_definitions.json,NON_PRODUCTION_DRAFT,NOT_OFFICIAL,false
OVERDUE,Quá hạn chưa hoàn thành,false,false,false,delayed,CONTEXT_REQUIRED_COMPLETION_DATE_MUST_BE_NULL,task_status_definitions.json,NON_PRODUCTION_DRAFT,NOT_OFFICIAL,false
SUSPENDED,Tạm dừng,false,false,false,on_hold,DIRECT_DRAFT_EQUIVALENCE,task_status_definitions.json,NON_PRODUCTION_DRAFT,NOT_OFFICIAL,false
