department_id,department_name,aliases,administrative_level,status
PB01,Văn phòng Hội đồng nhân dân và Ủy ban nhân dân,,,
PB02,Phòng Kinh tế,,,
PB02_URBAN,"Phòng Kinh tế, Hạ tầng và Đô thị",,,
PB03,Phòng Văn hóa - Xã hội,,,
